timestamp,humidity
2012-10-23 22:19:00,37.2561403509
2012-10-23 22:20:00,37.1857142857
2012-10-23 22:21:00,37.5290909091
2012-10-23 22:22:00,37.3293103448
2012-10-23 22:23:00,37.4701754386
2012-10-23 22:24:00,37.64
2012-10-23 22:25:00,37.6927272727
2012-10-23 22:26:00,37.6379310345
2012-10-23 22:27:00,37.4824561404
2012-10-23 22:28:00,37.6232142857
2012-10-23 22:29:00,37.6789473684
2012-10-23 22:30:00,37.7543859649
2012-10-23 22:31:00,37.7716981132
2012-10-23 22:32:00,37.6333333333
2012-10-23 22:33:00,37.5172413793
2012-10-23 22:34:00,37.4293103448
2012-10-23 22:35:00,37.5092592593
2012-10-23 22:36:00,37.6836363636
2012-10-23 22:37:00,37.7813559322
2012-10-23 22:38:00,37.4107142857
2012-10-23 22:39:00,37.1175438596
